ROWID,HCS_POS_POSITION,HCS_POS_GRADE_SUB,POS_CAT_DESCR,POS_CAT,LOCATION,DESCR,DEPTID,Department, PAYGROUP ,POSITION_NBR, BUILDING ,HIRE_DT,TERMINATION_DT,YOS,BIRTHDATE,AGE,HCS_POS_TYPE,REASON_LEAVE,ACTION_REASON,GRADE,STEP,ANNUAL_RT,DAILY_RT,EMPL_STATUS
1,AIDE,INTERVENT,Support Staff,8,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,185,3225,10,10/3/2007,6/30/2010,3,10/1/1983,41,0,Leaving Profession,5,17,7,17968.125,97.125,0
2,ASSTPRIN,II,Assistant Principals,3,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,3249,10,8/10/2000,6/29/2007,7,6/1/1939,85,1,Retire,3,33,27,65229.225,343.3117105,0
3,CAFETERIA,WRKR,Food Service,5,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,183,1790,10,10/27/2003,12/5/2004,1,9/2/1930,94,0,Unknown,4,15,19,4095.54,22.38,0
4,CAFETERIA,WRKR,Food Service,5,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,183,3110,10,2/15/1989,6/30/2010,21,3/15/1945,79,0,Retire,3,16,28,23731.44,129.68,0
5,CARADVIS,N/A,Non-Teaching Prof,7,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,3490,10,8/22/2005,2/19/2009,4,5/1/1970,54,1,Another Position in Education ,6,31,3,41868.4,220.36,0
6,SECRETARY,III,Support Staff,8,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,240,3491,10,8/18/2003,4/30/2010,7,11/22/1971,53,0,Moving,12,21,18,17523,73.0125,0
7,SPECIALIST,II,Non-Teaching Prof,7,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1131,10,8/22/2005,6/30/2006,1,11/24/1977,47,1,Unknown,4,25,0,12775.6,67.24,0
8,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/23/1989,6/30/2006,17,2/4/1965,59,1,Dismissal,11,28,19,44693.7,235.23,0
9,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/19/1986,6/30/2009,23,1/17/1953,71,1,Retire,3,32,27,68814.2,362.18,0
10,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/23/1988,5/14/2009,21,12/21/1960,64,1,Unknown,4,32,21,59903.2,315.28,0
11,TEACHER,PREIB/CAPS,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,2738,10,9/23/2002,6/29/2007,5,9/22/1942,82,1,Retire,3,31,27,31388,165.2,0
12,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/20/2004,6/30/2008,4,7/7/1978,46,1,Unknown,4,29,6,38121.287,200.6383526,0
13,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/14/1995,6/30/2008,13,8/11/1941,83,1,Retire,3,31,22,28793.633,151.5454368,0
14,TEACHER,VOCATIONAL,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,3069,10,7/1/2006,6/30/2008,2,2/24/1982,42,1,Moving,12,31,2,39530.642,208.0560105,0
15,TEACHER,N/A,Teachers,1,196,"Academy for Arts,Science& Tech",196,Academy of Arts Science & Tech,190,1023,10,8/18/2008,6/30/2010,2,2/6/1984,40,1,Another Position in Education ,6,31,3,41868.4,220.36,0
16,AIDE,MEDIA,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,185,4502,10,3/9/2006,4/25/2024,18,3/28/1976,48,0,Active,1,104,19,29474.2,159.32,1
17,AIDE,INTERVENT,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,185,3224,10,8/24/2007,2/7/2013,6,7/6/1984,40,0,Unknown,4,18,4,18495.375,99.975,0
18,AIDE,INTERVENT,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,185,2109,10,1/14/2008,5/16/2008,0,3/9/1980,44,0,Moving,12,17,6,17301.455,93.52137838,0
19,AIDE,ISS,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,180,3664,10,2/3/2010,4/25/2024,14,5/27/1952,72,0,Active,1,104,22,30189.6,167.72,1
20,AIDE,SPECED,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,185,6053,10,8/6/2021,4/25/2024,3,5/19/1989,35,0,Active,1,104,4,24600.375,132.975,1
21,ASSTPRIN,I,Assistant Principals,3,198,Acad Tech and Academics,198,Acad Tech and Academics,220,4478,10,8/14/1995,6/30/2022,27,12/13/1965,59,1,Retire,3,208,28,96581.85,439.0084091,0
22,ASSTPRIN,I,Assistant Principals,3,198,Acad Tech and Academics,198,Acad Tech and Academics,220,4478,10,8/6/2015,4/25/2024,9,2/16/1988,36,1,Active,1,211,22,96060.8,436.64,1
23,BOOKKPR,II,Support Staff,8,198,Acad Tech and Academics,198,Acad Tech and Academics,240,2945,10,10/13/1997,4/25/2024,27,7/10/1958,66,0,Active,1,106,30,54688.063,227.8669292,1
